id,name,bugs,cyclomatic
0,org.apache.hadoop.security.UserGroupInformation.HadoopLoginModule.abort(),0,1
1,org.apache.hadoop.security.UserGroupInformation.HadoopLoginModule.commit(),1,15
2,org.apache.hadoop.security.UserGroupInformation.HadoopLoginModule.getCanonicalUser(),0,2
3,org.apache.hadoop.security.UserGroupInformation.HadoopLoginModule.initialize(),0,1
4,org.apache.hadoop.security.UserGroupInformation.HadoopLoginModule.login(),0,2
5,org.apache.hadoop.security.UserGroupInformation.HadoopLoginModule.logout(),0,2
6,org.apache.hadoop.metrics2.annotation.Metric.about(),0,0
7,org.apache.hadoop.metrics2.annotation.Metric.always(),0,0
8,org.apache.hadoop.metrics2.annotation.Metric.sampleName(),0,0
9,org.apache.hadoop.metrics2.annotation.Metric.type(),0,0
10,org.apache.hadoop.metrics2.annotation.Metric.value(),0,0
11,org.apache.hadoop.metrics2.annotation.Metric.valueName(),0,0
12,org.apache.hadoop.metrics2.annotation.Metrics.about(),0,0
13,org.apache.hadoop.metrics2.annotation.Metrics.context(),0,0
14,org.apache.hadoop.metrics2.annotation.Metrics.name(),0,0
15,org.apache.hadoop.fs.GlobFilter.accept(),0,1
16,org.apache.hadoop.fs.GlobFilter.hasPattern(),0,1
17,org.apache.hadoop.fs.GlobFilter.init(),0,2
18,org.apache.hadoop.fs.PathFilter.accept(),0,0
19,org.apache.hadoop.io.serializer.avro.AvroReflectSerialization.accept(),0,2
20,org.apache.hadoop.io.serializer.avro.AvroReflectSerialization.getReader(),0,2
21,org.apache.hadoop.io.serializer.avro.AvroReflectSerialization.getSchema(),0,1
22,org.apache.hadoop.io.serializer.avro.AvroReflectSerialization.getWriter(),0,1
23,org.apache.hadoop.io.serializer.avro.AvroSpecificSerialization.accept(),0,1
24,org.apache.hadoop.io.serializer.avro.AvroSpecificSerialization.getReader(),0,2
25,org.apache.hadoop.io.serializer.avro.AvroSpecificSerialization.getSchema(),0,1
26,org.apache.hadoop.io.serializer.avro.AvroSpecificSerialization.getWriter(),0,1
27,org.apache.hadoop.io.serializer.JavaSerialization.accept(),0,1
28,org.apache.hadoop.io.serializer.JavaSerialization.getDeserializer(),0,1
29,org.apache.hadoop.io.serializer.JavaSerialization.getSerializer(),0,1
30,org.apache.hadoop.io.serializer.Serialization.accept(),0,0
31,org.apache.hadoop.io.serializer.Serialization.getDeserializer(),0,0
32,org.apache.hadoop.io.serializer.Serialization.getSerializer(),0,0
33,org.apache.hadoop.io.serializer.WritableSerialization.accept(),0,1
34,org.apache.hadoop.io.serializer.WritableSerialization.getDeserializer(),0,1
35,org.apache.hadoop.io.serializer.WritableSerialization.getSerializer(),0,1
36,org.apache.hadoop.metrics2.filter.AbstractPatternFilter.accepts(),0,4
37,org.apache.hadoop.metrics2.filter.AbstractPatternFilter.compile(),0,0
38,org.apache.hadoop.metrics2.filter.AbstractPatternFilter.init(),0,9
39,org.apache.hadoop.metrics2.filter.AbstractPatternFilter.setExcludePattern(),0,1
40,org.apache.hadoop.metrics2.filter.AbstractPatternFilter.setExcludeTagPattern(),0,1
41,org.apache.hadoop.metrics2.filter.AbstractPatternFilter.setIncludePattern(),0,1
42,org.apache.hadoop.metrics2.filter.AbstractPatternFilter.setIncludeTagPattern(),0,1
43,org.apache.hadoop.metrics2.MetricsFilter.accepts(),0,0
44,org.apache.hadoop.log.Log4Json.activateOptions(),0,1
45,org.apache.hadoop.log.Log4Json.format(),0,2
46,org.apache.hadoop.log.Log4Json.getContentType(),0,1
47,org.apache.hadoop.log.Log4Json.ignoresThrowable(),0,1
48,org.apache.hadoop.log.Log4Json.parse(),0,2
49,org.apache.hadoop.log.Log4Json.toJson(),0,4
50,org.apache.hadoop.io.EnumSetWritable.add(),0,2
51,org.apache.hadoop.io.EnumSetWritable.equals(),0,5
52,org.apache.hadoop.io.EnumSetWritable.get(),0,1
53,org.apache.hadoop.io.EnumSetWritable.getConf(),0,1
54,org.apache.hadoop.io.EnumSetWritable.getElementType(),0,1
55,org.apache.hadoop.io.EnumSetWritable.hashCode(),0,2
56,org.apache.hadoop.io.EnumSetWritable.iterator(),0,1
57,org.apache.hadoop.io.EnumSetWritable.readFields(),0,4
58,org.apache.hadoop.io.EnumSetWritable.set(),0,4
59,org.apache.hadoop.io.EnumSetWritable.setConf(),0,1
60,org.apache.hadoop.io.EnumSetWritable.size(),0,1
61,org.apache.hadoop.io.EnumSetWritable.toString(),0,2
62,org.apache.hadoop.io.EnumSetWritable.write(),0,5
63,org.apache.hadoop.metrics.util.MetricsRegistry.add(),0,0
64,org.apache.hadoop.metrics.util.MetricsRegistry.get(),0,0
65,org.apache.hadoop.metrics.util.MetricsRegistry.getKeyList(),0,0
66,org.apache.hadoop.metrics.util.MetricsRegistry.getMetricsList(),0,0
67,org.apache.hadoop.metrics.util.MetricsRegistry.size(),0,0
68,org.apache.hadoop.metrics2.impl.MetricsBufferBuilder.add(),0,1
69,org.apache.hadoop.metrics2.impl.MetricsBufferBuilder.get(),0,1
70,org.apache.hadoop.metrics2.impl.MetricsRecordBuilderImpl.add(),0,1
71,org.apache.hadoop.metrics2.impl.MetricsRecordBuilderImpl.addCounter(),0,2
72,org.apache.hadoop.metrics2.impl.MetricsRecordBuilderImpl.addGauge(),0,2
73,org.apache.hadoop.metrics2.impl.MetricsRecordBuilderImpl.getRecord(),0,2
74,org.apache.hadoop.metrics2.impl.MetricsRecordBuilderImpl.metrics(),0,1
75,org.apache.hadoop.metrics2.impl.MetricsRecordBuilderImpl.parent(),0,1
76,org.apache.hadoop.metrics2.impl.MetricsRecordBuilderImpl.setContext(),0,1
